schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = breakfast with Noah ; date = this Thursday ; start-time = 9am ; end-time = 11am )
schedule ( title = taking medicine with  ; date = this Sunday ; start-time = 1am ; end-time = 3am )
schedule ( title = dinner with Emily ; date = next Thursday ; start-time = 7am ; end-time = 9am )
schedule ( title = lunch with Harper ; date = this Wednesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dentist appointment with Michael ; date = next Friday ; start-time = 5am ; end-time = 7am )
schedule ( title = talk with Elizabeth ; date = this Wednesday ; start-time = 11am ; end-time = 13am )
schedule ( title = dinner with Brian ; date = next Sunday ; start-time = 2am ; end-time = 4am )
schedule ( title = yoga activity with Emily ; date = this Sunday ; start-time = 3am ; end-time = 5am )
schedule ( title = football activities with David ; date = this Wednesday ; start-time = 10am ; end-time = 12am )
schedule ( title = interview with William ; date = next Monday ; start-time = 2am ; end-time = 4am )
schedule ( title = lunch with Benjamin ; date = next Monday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = football activities with Emily ; date = this Sunday ; start-time = 2am ; end-time = 4am )
schedule ( title = breakfast with Barbara ; date = this Thursday ; start-time = 9am ; end-time = 11am )
schedule ( title = optometrist appointment with Brian ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule ( title = talk with Sophia ; date = next Monday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = dentist appointment with Jacob ; date = next Saturday ; start-time = 1am ; end-time = 3am )
schedule ( title = dinner with Evelyn ; date = this Sunday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = trip with Isabella ; date = next Tuesday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = trip with Linda ; date = next Thursday ; start-time = 8pm ; end-time = 10pm )
schedule ( title = dinner with Mia ; date = this Sunday ; start-time = 12am ; end-time = 2am )
schedule ( title = meeting with Kevin ; date = this Tuesday ; start-time = 8am ; end-time = 10am )
schedule ( title = lunch with Jennifer ; date = this Monday ; start-time = 5am ; end-time = 7am )
schedule ( title = lunch with Noah ; date = this Sunday ; start-time = 8pm ; end-time = 10pm )
schedule ( title = lab appointment with Benjamin ; date = this Tuesday ; start-time = 8am ; end-time = 10am )
schedule ( title = zoom with Gary ; date = this Saturday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = optometrist appointment with Elijah ; date = this Wednesday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = lab appointment with David ; date = next Thursday ; start-time = 10am ; end-time = 12am )
schedule ( title = zoom with James ; date = this Friday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = dinner with Isabella ; date = next Wednesday ; start-time = 1am ; end-time = 3am )
schedule ( title = lunch with Sarah ; date = next Friday ; start-time = 11am ; end-time = 13am )
schedule ( title = breakfast with Gary ; date = this Saturday ; start-time = 6am ; end-time = 8am )
schedule ( title = zoom with Emily ; date = this Monday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = dentist appointment with Richard ; date = next Thursday ; start-time = 5am ; end-time = 7am )
schedule ( title = taking medicine with father ; date = this Sunday ; start-time = 10am ; end-time = 12am )
schedule ( title = optometrist appointment with Barbara ; date = next Friday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = talk with John ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = lunch with Alice ; date = next Wednesday ; start-time = 11am ; end-time = 13am )
schedule ( title = meeting with Noah ; date = next Monday ; start-time = 7pm ; end-time = 9pm )
schedule ( title = interview with Robert ; date = this Sunday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = dentist appointment with Brian ; date = this Sunday ; start-time = 9am ; end-time = 11am )
schedule ( title = dinner with Richard ; date = next Wednesday ; start-time = 2am ; end-time = 4am )
schedule ( title = football activities with Justin ; date = next Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = yoga activity with George ; date = this Friday ; start-time = 7am ; end-time = 9am )
schedule ( title = flight with Elizabeth ; date = this Wednesday ; start-time = 5am ; end-time = 7am )
schedule ( title = dinner with Oliver ; date = next Monday ; start-time = 5am ; end-time = 7am )
schedule ( title = optometrist appointment with Lisa ; date = this Saturday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = taking medicine with Harper ; date = this Saturday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = dinner with James ; date = this Saturday ; start-time = 8am ; end-time = 10am )
schedule ( title = optometrist appointment with Olivia ; date = next Thursday ; start-time = 8pm ; end-time = 10pm )
schedule ( title = conference with sister ; date = next Thursday ; start-time = 7pm ; end-time = 9pm )
schedule ( title = dentist appointment with Barbara ; date = this Monday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = lab appointment with Kevin ; date = this Friday ; start-time = 4am ; end-time = 6am )
schedule ( title = dentist appointment with Oliver ; date = next Friday ; start-time = 7am ; end-time = 9am )
schedule ( title = meeting with Michael ; date = next Monday ; start-time = 3am ; end-time = 5am )
schedule ( title = conference with Ryan ; date = this Sunday ; start-time = 2am ; end-time = 4am )
schedule ( title = flight with Richard ; date = next Friday ; start-time = 4am ; end-time = 6am )
schedule ( title = dentist appointment with Liam ; date = next Thursday ; start-time = 3am ; end-time = 5am )
schedule ( title = football activities with Brian ; date = this Friday ; start-time = 6am ; end-time = 8am )
schedule ( title = interview with Evelyn ; date = next Monday ; start-time = 9am ; end-time = 11am )
schedule ( title = interview with Emily ; date = next Thursday ; start-time = 9am ; end-time = 11am )
schedule ( title = meeting with  ; date = next Wednesday ; start-time = 8am ; end-time = 10am )
schedule ( title = optometrist appointment with John ; date = next Monday ; start-time = 3am ; end-time = 5am )
schedule ( title = interview with Ava ; date = this Tuesday ; start-time = 2am ; end-time = 4am )
schedule ( title = dinner with Noah ; date = next Tuesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = optometrist appointment with  ; date = this Sunday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = flight with Scott ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule ( title = dinner with Linda ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = meeting with Jessica ; date = next Sunday ; start-time = 4am ; end-time = 6am )
schedule ( title = zoom with Emily ; date = this Friday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = trip with Evelyn ; date = this Thursday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = optometrist appointment with Mary ; date = this Monday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = dinner with Alexander ; date = this Thursday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = taking medicine with Alexander ; date = next Sunday ; start-time = 1am ; end-time = 3am )
schedule ( title = dinner with William ; date = next Friday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = dentist appointment with Emma ; date = this Monday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = trip with Robert ; date = next Sunday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = football activities with sister ; date = next Thursday ; start-time = 3am ; end-time = 5am )
schedule ( title = trip with Alexander ; date = this Wednesday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = dentist appointment with Timothy ; date = this Wednesday ; start-time = 6am ; end-time = 8am )
schedule ( title = flight with Ashley ; date = next Friday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = taking medicine with Linda ; date = next Thursday ; start-time = 10am ; end-time = 12am )
schedule ( title = football activities with Amelia ; date = next Saturday ; start-time = 12am ; end-time = 2am )
schedule ( title = dentist appointment with Linda ; date = next Tuesday ; start-time = 2am ; end-time = 4am )
schedule ( title = lab appointment with William ; date = this Tuesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dentist appointment with Amelia ; date = next Sunday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = lab appointment with Elijah ; date = this Friday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = breakfast with Emma ; date = this Wednesday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = dinner with Amelia ; date = this Thursday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = lab appointment with Mia ; date = next Thursday ; start-time = 6pm ; end-time = 8pm )
reminder ( title = zoom with Linda ; date = 7th ; start-time = 1pm ; end-time = 2pm )
reminder ( title = meeting with Kevin ; date = 3rd ; start-time = 12am ; end-time = 1am )
reminder ( title = lunch with Alex ; date = 26th ; start-time = 10am ; end-time = 11am )
reminder ( title = lab appointment with Robert ; date = 29th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = lab appointment with William ; date = 16th ; start-time = 10am ; end-time = 11am )
reminder ( title = yoga activity with  ; date = 5th ; start-time = 4am ; end-time = 5am )
reminder ( title = football activities with Jeffrey ; date = 10th ; start-time = 8am ; end-time = 9am )
reminder ( title = flight with Benjamin ; date = 3rd ; start-time = 2am ; end-time = 3am )
reminder ( title = talk with James ; date = 29th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = talk with Isabella ; date = 18th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = dinner with Jessica ; date = 13th ; start-time = 2am ; end-time = 3am )
reminder ( title = talk with Robert ; date = 16th ; start-time = 3am ; end-time = 4am )
reminder ( title = flight with Mary ; date = 25th ; start-time = 1pm ; end-time = 2pm )
reminder ( title = trip with George ; date = 13th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = meeting with James ; date = 9th ; start-time = 2am ; end-time = 3am )
reminder ( title = dinner with Henry ; date = 19th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = talk with Barbara ; date = 12th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = trip with Charlotte ; date = 10th ; start-time = 11pm ; end-time = 12pm )
reminder ( title = football activities with Barbara ; date = 28th ; start-time = 3am ; end-time = 4am )
reminder ( title = flight with Amelia ; date = 29th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = dentist appointment with Jennifer ; date = 31st ; start-time = 1pm ; end-time = 2pm )
reminder ( title = dentist appointment with Harper ; date = 18th ; start-time = 9pm ; end-time = 10pm )
reminder ( title = dentist appointment with Mia ; date = 23rd ; start-time = 5am ; end-time = 6am )
reminder ( title = conference with Jessica ; date = 29th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = lunch with Alexander ; date = 16th ; start-time = 7am ; end-time = 8am )
reminder ( title = dentist appointment with Jessica ; date = 16th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = optometrist appointment with Justin ; date = 20th ; start-time = 9pm ; end-time = 10pm )
reminder ( title = breakfast with Scott ; date = 7th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = dinner with Jennifer ; date = 12th ; start-time = 1pm ; end-time = 2pm )
reminder ( title = taking medicine with Brian ; date = 22nd ; start-time = 7am ; end-time = 8am )
reminder ( title = taking medicine with Alex ; date = 31st ; start-time = 2am ; end-time = 3am )
reminder ( title = lunch with Michael ; date = 22nd ; start-time = 6am ; end-time = 7am )
reminder ( title = meeting with Emma ; date = 17th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = trip with Jeffrey ; date = 3rd ; start-time = 5pm ; end-time = 6pm )
reminder ( title = talk with Ryan ; date = 18th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = optometrist appointment with Barbara ; date = 8th ; start-time = 12am ; end-time = 1am )
reminder ( title = meeting with George ; date = 24th ; start-time = 11am ; end-time = 12am )
reminder ( title = flight with Isabella ; date = 17th ; start-time = 8am ; end-time = 9am )
reminder ( title = lab appointment with William ; date = 25th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = dinner with David ; date = 8th ; start-time = 8pm ; end-time = 9pm )
reminder ( title = talk with Evelyn ; date = 18th ; start-time = 10am ; end-time = 11am )
reminder ( title = playing football with Olivia ; date = 7th ; start-time = 11am ; end-time = 12am )
reminder ( title = trip with Alice ; date = 30th ; start-time = 1am ; end-time = 2am )
reminder ( title = talk with Jeffrey ; date = 20th ; start-time = 5am ; end-time = 6am )
reminder ( title = flight with Alexander ; date = 27th ; start-time = 8am ; end-time = 9am )
reminder ( title = trip with Linda ; date = 16th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = zoom with Oliver ; date = 9th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = talk with Alex ; date = 3rd ; start-time = 6am ; end-time = 7am )
reminder ( title = playing football with James ; date = 14th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = optometrist appointment with Jacob ; date = 10th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = meeting with Linda ; date = 31st ; start-time = 7pm ; end-time = 8pm )
reminder ( title = lab appointment with Scott ; date = 24th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = optometrist appointment with William ; date = 16th ; start-time = 7am ; end-time = 8am )
reminder ( title = dinner with Kevin ; date = 13th ; start-time = 8pm ; end-time = 9pm )
reminder ( title = football activities with Kevin ; date = 11th ; start-time = 6am ; end-time = 7am )
reminder ( title = yoga activity with Lucas ; date = 9th ; start-time = 6am ; end-time = 7am )
reminder ( title = lunch with Jennifer ; date = 27th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = taking medicine with Emily ; date = 11th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = flight with Ava ; date = 17th ; start-time = 2am ; end-time = 3am )
reminder ( title = yoga activity with  ; date = 2nd ; start-time = 1am ; end-time = 2am )
reminder ( title = football activities with Timothy ; date = 25th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = breakfast with Sarah ; date = 11th ; start-time = 7am ; end-time = 8am )
reminder ( title = flight with Gary ; date = 17th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = dinner with Jacob ; date = 23rd ; start-time = 1pm ; end-time = 2pm )
reminder ( title = meeting with John ; date = 26th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = flight with Robert ; date = 3rd ; start-time = 12am ; end-time = 1am )
reminder ( title = taking medicine with Charlotte ; date = 11th ; start-time = 5am ; end-time = 6am )
reminder ( title = meeting with John ; date = 1st ; start-time = 1am ; end-time = 2am )
reminder ( title = football activities with Charlotte ; date = 23rd ; start-time = 10pm ; end-time = 11pm )
reminder ( title = meeting with Jeffrey ; date = 22nd ; start-time = 6am ; end-time = 7am )
reminder ( title = meeting with Mary ; date = 14th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = breakfast with John ; date = 21st ; start-time = 5am ; end-time = 6am )
reminder ( title = interview with sister ; date = 14th ; start-time = 11am ; end-time = 12am )
reminder ( title = optometrist appointment with Kevin ; date = 11th ; start-time = 8am ; end-time = 9am )
reminder ( title = dentist appointment with Noah ; date = 23rd ; start-time = 8pm ; end-time = 9pm )
reminder ( title = meeting with James ; date = 25th ; start-time = 2am ; end-time = 3am )
reminder ( title = breakfast with Alex ; date = 31st ; start-time = 12pm ; end-time = 1pm )
reminder ( title = lab appointment with William ; date = 4th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = meeting with Alex ; date = 15th ; start-time = 2am ; end-time = 3am )
reminder ( title = playing football with Ryan ; date = 9th ; start-time = 3am ; end-time = 4am )
reminder ( title = football activities with Evelyn ; date = 1st ; start-time = 9pm ; end-time = 10pm )
reminder ( title = optometrist appointment with James ; date = 16th ; start-time = 8am ; end-time = 9am )
reminder ( title = meeting with Olivia ; date = 14th ; start-time = 8am ; end-time = 9am )
reminder ( title = interview with Elijah ; date = 9th ; start-time = 11pm ; end-time = 12pm )
reminder ( title = flight with Alice ; date = 30th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = lab appointment with Brian ; date = 8th ; start-time = 3am ; end-time = 4am )
reminder ( title = football activities with Harper ; date = 4th ; start-time = 3am ; end-time = 4am )
reminder ( title = zoom with Jeffrey ; date = 10th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = dentist appointment with Linda ; date = 2nd ; start-time = 11am ; end-time = 12am )
reminder ( title = talk with Linda ; date = 24th ; start-time = 4am ; end-time = 5am )
reminder ( title = yoga activity with Noah ; date = 22nd ; start-time = 5pm ; end-time = 6pm )
reminder ( title = lunch with David ; date = 28th ; start-time = 8am ; end-time = 9am )
reminder ( title = playing football with David ; date = 28th ; start-time = 8am ; end-time = 9am )
reminder ( title = dentist appointment with Sarah ; date = 7th ; start-time = 2am ; end-time = 3am )
reminder ( title = dinner with Richard ; date = 20th ; start-time = 5am ; end-time = 6am )
reminder ( title = taking medicine with father ; date = 1st ; start-time = 11pm ; end-time = 12pm )
reminder ( title = dentist appointment with Scott ; date = 15th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = meeting with Barbara ; date = 30th ; start-time = 4am ; end-time = 5am )
reminder ( title = trip with Benjamin ; date = 16th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = lab appointment with Alice ; date = 20th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = taking medicine with Jacob ; date = 11th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = taking medicine with Richard ; date = 6th ; start-time = 5am ; end-time = 6am )
reminder ( title = conference with Emma ; date = 21st ; start-time = 10pm ; end-time = 11pm )
reminder ( title = meeting with Kevin ; date = 1st ; start-time = 7am ; end-time = 8am )
reminder ( title = dentist appointment with Lisa ; date = 8th ; start-time = 11am ; end-time = 12am )
reminder ( title = football activities with James ; date = 3rd ; start-time = 9am ; end-time = 10am )
reminder ( title = lab appointment with Emma ; date = 22nd ; start-time = 5pm ; end-time = 6pm )
reminder ( title = lunch with Lucas ; date = 5th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = dentist appointment with Jeffrey ; date = 21st ; start-time = 11pm ; end-time = 12pm )
reminder ( title = meeting with Ava ; date = 9th ; start-time = 4am ; end-time = 5am )
reminder ( title = taking medicine with Michael ; date = 16th ; start-time = 2am ; end-time = 3am )
reminder ( title = zoom with Lucas ; date = 5th ; start-time = 8am ; end-time = 9am )
reminder ( title = dinner with Brian ; date = 22nd ; start-time = 11am ; end-time = 12am )
reminder ( title = taking medicine with Timothy ; date = 17th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = lunch with Richard ; date = 10th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = lunch with Scott ; date = 2nd ; start-time = 1pm ; end-time = 2pm )
reminder ( title = taking medicine with Amelia ; date = 16th ; start-time = 2am ; end-time = 3am )
reminder ( title = taking medicine with Alexander ; date = 4th ; start-time = 2am ; end-time = 3am )
reminder ( title = talk with James ; date = 28th ; start-time = 5am ; end-time = 6am )
reminder ( title = optometrist appointment with Charlotte ; date = 9th ; start-time = 4am ; end-time = 5am )
reminder ( title = taking medicine with Mary ; date = 2nd ; start-time = 7am ; end-time = 8am )
reminder ( title = zoom with Olivia ; date = 4th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = meeting with Alice ; date = 6th ; start-time = 2am ; end-time = 3am )
reminder ( title = flight with Linda ; date = 24th ; start-time = 10am ; end-time = 11am )
reminder ( title = interview with Alex ; date = 1st ; start-time = 5am ; end-time = 6am )
reminder ( title = lunch with sister ; date = 22nd ; start-time = 1pm ; end-time = 2pm )
reminder ( title = lab appointment with Sarah ; date = 10th ; start-time = 11am ; end-time = 12am )
reminder ( title = zoom with Emily ; date = 7th ; start-time = 11am ; end-time = 12am )
reminder ( title = interview with Lisa ; date = 13th ; start-time = 1pm ; end-time = 2pm )
reminder ( title = talk with Jeffrey ; date = 12th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = optometrist appointment with Olivia ; date = 10th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = football activities with Noah ; date = 11th ; start-time = 9pm ; end-time = 10pm )
reminder ( title = breakfast with Alex ; date = 20th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = breakfast with Henry ; date = 16th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = interview with Linda ; date = 24th ; start-time = 8am ; end-time = 9am )
reminder ( title = dentist appointment with Olivia ; date = 17th ; start-time = 5am ; end-time = 6am )
reminder ( title = dinner with Kevin ; date = 11th ; start-time = 3pm ; end-time = 4pm )
reminder ( title = conference with Harper ; date = 5th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = meeting with Harper ; date = 13th ; start-time = 9am ; end-time = 10am )
reminder ( title = meeting with Gary ; date = 30th ; start-time = 9pm ; end-time = 10pm )
reminder ( title = taking medicine with James ; date = 25th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = talk with Emily ; date = 25th ; start-time = 3am ; end-time = 4am )
reminder ( title = playing football with Olivia ; date = 23rd ; start-time = 10pm ; end-time = 11pm )
reminder ( title = dinner with Gary ; date = 15th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = conference with Jacob ; date = 23rd ; start-time = 6pm ; end-time = 7pm )
reminder ( title = dinner with Elijah ; date = 23rd ; start-time = 5pm ; end-time = 6pm )
reminder ( title = breakfast with Jeffrey ; date = 30th ; start-time = 9am ; end-time = 10am )
reminder ( title = yoga activity with Timothy ; date = 14th ; start-time = 7am ; end-time = 8am )
reminder ( title = breakfast with David ; date = 24th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = meeting with Liam ; date = 26th ; start-time = 12pm ; end-time = 1pm )
reminder ( title = breakfast with Evelyn ; date = 9th ; start-time = 11am ; end-time = 12am )
reminder ( title = dentist appointment with David ; date = 10th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = talk with Elizabeth ; date = 8th ; start-time = 11pm ; end-time = 12pm )
reminder ( title = meeting with Robert ; date = 16th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = breakfast with Richard ; date = 9th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = playing football with Jennifer ; date = 5th ; start-time = 8am ; end-time = 9am )
reminder ( title = meeting with John ; date = 24th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = playing football with James ; date = 24th ; start-time = 3am ; end-time = 4am )
reminder ( title = flight with Ava ; date = 5th ; start-time = 7pm ; end-time = 8pm )
reminder ( title = dinner with Sarah ; date = 2nd ; start-time = 9pm ; end-time = 10pm )
reminder ( title = breakfast with Ryan ; date = 11th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = dinner with William ; date = 30th ; start-time = 3am ; end-time = 4am )
reminder ( title = lab appointment with Emily ; date = 5th ; start-time = 2am ; end-time = 3am )
reminder ( title = flight with Sophia ; date = 23rd ; start-time = 12am ; end-time = 1am )
reminder ( title = yoga activity with Ryan ; date = 6th ; start-time = 1am ; end-time = 2am )
reminder ( title = playing football with Robert ; date = 6th ; start-time = 8pm ; end-time = 9pm )
reminder ( title = dinner with Ava ; date = 3rd ; start-time = 2pm ; end-time = 3pm )
reminder ( title = meeting with Jessica ; date = 27th ; start-time = 3am ; end-time = 4am )
reminder ( title = lab appointment with Alexander ; date = 14th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = playing football with Ashley ; date = 5th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = dinner with Emily ; date = 27th ; start-time = 7am ; end-time = 8am )
reminder ( title = yoga activity with Robert ; date = 1st ; start-time = 8pm ; end-time = 9pm )
reminder ( title = flight with Linda ; date = 28th ; start-time = 4am ; end-time = 5am )
reminder ( title = dentist appointment with Robert ; date = 20th ; start-time = 11pm ; end-time = 12pm )
reminder ( title = interview with John ; date = 20th ; start-time = 12am ; end-time = 1am )
reminder ( title = lunch with James ; date = 10th ; start-time = 2pm ; end-time = 3pm )
reminder ( title = zoom with Ashley ; date = 7th ; start-time = 3am ; end-time = 4am )
reminder ( title = meeting with Alice ; date = 28th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = meeting with Robert ; date = 25th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = conference with Isabella ; date = 12th ; start-time = 5am ; end-time = 6am )
reminder ( title = football activities with Michael ; date = 8th ; start-time = 1am ; end-time = 2am )
reminder ( title = conference with David ; date = 24th ; start-time = 1pm ; end-time = 2pm )
reminder ( title = lunch with Ryan ; date = 12th ; start-time = 8pm ; end-time = 9pm )
reminder ( title = zoom with Elijah ; date = 13th ; start-time = 10am ; end-time = 11am )
reminder ( title = football activities with Emma ; date = 30th ; start-time = 9am ; end-time = 10am )
reminder ( title = zoom with Noah ; date = 31st ; start-time = 4am ; end-time = 5am )
reminder ( title = meeting with Ryan ; date = 3rd ; start-time = 5pm ; end-time = 6pm )
reminder ( title = talk with Henry ; date = 15th ; start-time = 5pm ; end-time = 6pm )
reminder ( title = talk with Mary ; date = 22nd ; start-time = 4am ; end-time = 5am )
reminder ( title = conference with Michael ; date = 29th ; start-time = 10pm ; end-time = 11pm )
reminder ( title = interview with Alex ; date = 27th ; start-time = 1am ; end-time = 2am )
reminder ( title = meeting with Justin ; date = 27th ; start-time = 10am ; end-time = 11am )
reminder ( title = dinner with Olivia ; date = 20th ; start-time = 1am ; end-time = 2am )
reminder ( title = trip with David ; date = 31st ; start-time = 2pm ; end-time = 3pm )
reminder ( title = playing football with Scott ; date = 31st ; start-time = 8pm ; end-time = 9pm )
reminder ( title = trip with Amelia ; date = 24th ; start-time = 6pm ; end-time = 7pm )
reminder ( title = optometrist appointment with Emily ; date = 20th ; start-time = 4pm ; end-time = 5pm )
reminder ( title = meeting with Alex ; date = 15th ; start-time = 11am ; end-time = 12am )
reminder ( title = meeting with Emily ; date = 28th ; start-time = 9pm ; end-time = 10pm )
reminder ( title = playing football with Barbara ; date = 30th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = flight with Liam ; date = 27th ; start-time = 12am ; end-time = 1am )
schedule ( title = yoga activity with Ava ; date = 15th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = trip with David ; date = 28th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = breakfast with John ; date = 11th ; start-time = 9am ; end-time = 10am )
schedule ( title = dinner with Richard ; date = 26th ; start-time = 5am ; end-time = 6am )
schedule ( title = meeting with Sophia ; date = 7th ; start-time = 7am ; end-time = 8am )
schedule ( title = taking medicine with father ; date = 7th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = playing football with Robert ; date = 30th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = optometrist appointment with Jennifer ; date = 18th ; start-time = 6am ; end-time = 7am )
schedule ( title = meeting with William ; date = 14th ; start-time = 8am ; end-time = 9am )
schedule ( title = conference with Kevin ; date = 4th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = breakfast with Mia ; date = 8th ; start-time = 7am ; end-time = 8am )
schedule ( title = football activities with Benjamin ; date = 16th ; start-time = 8am ; end-time = 9am )
schedule ( title = football activities with sister ; date = 12th ; start-time = 7am ; end-time = 8am )
schedule ( title = dinner with  ; date = 1st ; start-time = 11am ; end-time = 12am )
schedule ( title = flight with Emily ; date = 23rd ; start-time = 8pm ; end-time = 9pm )
schedule ( title = talk with Liam ; date = 24th ; start-time = 12am ; end-time = 1am )
schedule ( title = meeting with Linda ; date = 26th ; start-time = 11am ; end-time = 12am )
schedule ( title = football activities with Lisa ; date = 18th ; start-time = 8am ; end-time = 9am )
schedule ( title = talk with Timothy ; date = 16th ; start-time = 6am ; end-time = 7am )
schedule ( title = yoga activity with David ; date = 21st ; start-time = 11am ; end-time = 12am )
schedule ( title = trip with Emily ; date = 24th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = meeting with Lucas ; date = 15th ; start-time = 6am ; end-time = 7am )
schedule ( title = football activities with Olivia ; date = 20th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = playing football with Timothy ; date = 17th ; start-time = 5am ; end-time = 6am )
schedule ( title = flight with Elijah ; date = 24th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = breakfast with Kevin ; date = 3rd ; start-time = 7pm ; end-time = 8pm )
schedule ( title = dinner with Isabella ; date = 18th ; start-time = 8am ; end-time = 9am )
schedule ( title = taking medicine with Emily ; date = 20th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = meeting with James ; date = 16th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = breakfast with Liam ; date = 5th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = talk with Ava ; date = 3rd ; start-time = 4am ; end-time = 5am )
