taking medicine with Kevin on the 4th from 3pm to 4pm	schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule lab appointment with Emily next Saturday from 6am to 8am	schedule ( title = lab appointment with Emily ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule zoom with Ryan next Thursday from 5am to 7am	schedule ( title = zoom with Ryan ; date = next Thursday ; start-time = 5am ; end-time = 7am )
schedule interview with Olivia this Monday from 6am to 8am	schedule ( title = interview with Olivia ; date = this Monday ; start-time = 6am ; end-time = 8am )
schedule lunch with Henry this Wednesday from 3am to 5am	schedule ( title = lunch with Henry ; date = this Wednesday ; start-time = 3am ; end-time = 5am )
schedule taking medicine with Harper next Tuesday from 2am to 4am	schedule ( title = taking medicine with Harper ; date = next Tuesday ; start-time = 2am ; end-time = 4am )
schedule dentist appointment with Noah next Thursday from 6am to 8am	schedule ( title = dentist appointment with Noah ; date = next Thursday ; start-time = 6am ; end-time = 8am )
schedule breakfast with Charlotte next Monday from 4am to 6am	schedule ( title = breakfast with Charlotte ; date = next Monday ; start-time = 4am ; end-time = 6am )
schedule talk with Robert this Saturday from 8am to 10am	schedule ( title = talk with Robert ; date = this Saturday ; start-time = 8am ; end-time = 10am )
schedule dinner with father next Sunday from 1am to 3am	schedule ( title = dinner with father ; date = next Sunday ; start-time = 1am ; end-time = 3am )
schedule optometrist appointment with Lisa this Friday from 6am to 8am	schedule ( title = optometrist appointment with Lisa ; date = this Friday ; start-time = 6am ; end-time = 8am )
schedule lab appointment with father next Monday from 6am to 8am	schedule ( title = lab appointment with father ; date = next Monday ; start-time = 6am ; end-time = 8am )
schedule meeting with Jeffrey next Sunday from 2am to 4am	schedule ( title = meeting with Jeffrey ; date = next Sunday ; start-time = 2am ; end-time = 4am )
schedule conference with Harper this Sunday from 11am to 13am	schedule ( title = conference with Harper ; date = this Sunday ; start-time = 11am ; end-time = 13am )
schedule lunch with James next Tuesday from 6am to 8am	schedule ( title = lunch with James ; date = next Tuesday ; start-time = 6am ; end-time = 8am )
schedule lab appointment with Richard next Friday from 10am to 12am	schedule ( title = lab appointment with Richard ; date = next Friday ; start-time = 10am ; end-time = 12am )
schedule conference with Alexander next Thursday from 10pm to 12pm	schedule ( title = conference with Alexander ; date = next Thursday ; start-time = 10pm ; end-time = 12pm )
schedule optometrist appointment with Brian next Monday from 11am to 13am	schedule ( title = optometrist appointment with Brian ; date = next Monday ; start-time = 11am ; end-time = 13am )
schedule trip with Justin next Saturday from 4am to 6am	schedule ( title = trip with Justin ; date = next Saturday ; start-time = 4am ; end-time = 6am )
schedule football activities with Olivia next Thursday from 11am to 13am	schedule ( title = football activities with Olivia ; date = next Thursday ; start-time = 11am ; end-time = 13am )
schedule taking medicine with Kevin next Tuesday from 1am to 3am	schedule ( title = taking medicine with Kevin ; date = next Tuesday ; start-time = 1am ; end-time = 3am )
schedule interview with Mary next Sunday from 6pm to 8pm	schedule ( title = interview with Mary ; date = next Sunday ; start-time = 6pm ; end-time = 8pm )
schedule flight with Ryan this Thursday from 3am to 5am	schedule ( title = flight with Ryan ; date = this Thursday ; start-time = 3am ; end-time = 5am )
schedule lab appointment with Justin this Tuesday from 4pm to 6pm	schedule ( title = lab appointment with Justin ; date = this Tuesday ; start-time = 4pm ; end-time = 6pm )
schedule talk with Alexander next Thursday from 11pm to 13pm	schedule ( title = talk with Alexander ; date = next Thursday ; start-time = 11pm ; end-time = 13pm )
schedule breakfast with Henry this Thursday from 2am to 4am	schedule ( title = breakfast with Henry ; date = this Thursday ; start-time = 2am ; end-time = 4am )
schedule dinner with Evelyn this Tuesday from 1pm to 3pm	schedule ( title = dinner with Evelyn ; date = this Tuesday ; start-time = 1pm ; end-time = 3pm )
schedule playing football with Noah next Tuesday from 6am to 8am	schedule ( title = playing football with Noah ; date = next Tuesday ; start-time = 6am ; end-time = 8am )
schedule dinner with Kevin this Tuesday from 11pm to 13pm	schedule ( title = dinner with Kevin ; date = this Tuesday ; start-time = 11pm ; end-time = 13pm )
schedule breakfast with Mary this Monday from 1pm to 3pm	schedule ( title = breakfast with Mary ; date = this Monday ; start-time = 1pm ; end-time = 3pm )
schedule yoga activity with Gary next Sunday from 1am to 3am	schedule ( title = yoga activity with Gary ; date = next Sunday ; start-time = 1am ; end-time = 3am )
schedule trip with Benjamin next Monday from 12am to 2am	schedule ( title = trip with Benjamin ; date = next Monday ; start-time = 12am ; end-time = 2am )
schedule talk with Jessica this Friday from 7am to 9am	schedule ( title = talk with Jessica ; date = this Friday ; start-time = 7am ; end-time = 9am )
schedule taking medicine with Mia next Monday from 11pm to 13pm	schedule ( title = taking medicine with Mia ; date = next Monday ; start-time = 11pm ; end-time = 13pm )
schedule breakfast with Emily this Friday from 8pm to 10pm	schedule ( title = breakfast with Emily ; date = this Friday ; start-time = 8pm ; end-time = 10pm )
schedule zoom with Harper this Tuesday from 2am to 4am	schedule ( title = zoom with Harper ; date = this Tuesday ; start-time = 2am ; end-time = 4am )
schedule interview with Noah this Sunday from 3pm to 5pm	schedule ( title = interview with Noah ; date = this Sunday ; start-time = 3pm ; end-time = 5pm )
schedule taking medicine with Oliver next Sunday from 8pm to 10pm	schedule ( title = taking medicine with Oliver ; date = next Sunday ; start-time = 8pm ; end-time = 10pm )
schedule dentist appointment with Kevin next Monday from 8pm to 10pm	schedule ( title = dentist appointment with Kevin ; date = next Monday ; start-time = 8pm ; end-time = 10pm )
schedule playing football with Sarah next Sunday from 3pm to 5pm	schedule ( title = playing football with Sarah ; date = next Sunday ; start-time = 3pm ; end-time = 5pm )
schedule interview with James next Monday from 3am to 5am	schedule ( title = interview with James ; date = next Monday ; start-time = 3am ; end-time = 5am )
schedule breakfast with Noah this Thursday from 9am to 11am	schedule ( title = breakfast with Noah ; date = this Thursday ; start-time = 9am ; end-time = 11am )
schedule taking medicine with  this Sunday from 1am to 3am	schedule ( title = taking medicine with  ; date = this Sunday ; start-time = 1am ; end-time = 3am )
schedule dinner with Emily next Thursday from 7am to 9am	schedule ( title = dinner with Emily ; date = next Thursday ; start-time = 7am ; end-time = 9am )
schedule lunch with Harper this Wednesday from 5pm to 7pm	schedule ( title = lunch with Harper ; date = this Wednesday ; start-time = 5pm ; end-time = 7pm )
schedule dentist appointment with Michael next Friday from 5am to 7am	schedule ( title = dentist appointment with Michael ; date = next Friday ; start-time = 5am ; end-time = 7am )
schedule talk with Elizabeth this Wednesday from 11am to 13am	schedule ( title = talk with Elizabeth ; date = this Wednesday ; start-time = 11am ; end-time = 13am )
schedule dinner with Brian next Sunday from 2am to 4am	schedule ( title = dinner with Brian ; date = next Sunday ; start-time = 2am ; end-time = 4am )
schedule yoga activity with Emily this Sunday from 3am to 5am	schedule ( title = yoga activity with Emily ; date = this Sunday ; start-time = 3am ; end-time = 5am )
schedule football activities with David this Wednesday from 10am to 12am	schedule ( title = football activities with David ; date = this Wednesday ; start-time = 10am ; end-time = 12am )
schedule interview with William next Monday from 2am to 4am	schedule ( title = interview with William ; date = next Monday ; start-time = 2am ; end-time = 4am )
schedule lunch with Benjamin next Monday from 5pm to 7pm	schedule ( title = lunch with Benjamin ; date = next Monday ; start-time = 5pm ; end-time = 7pm )
schedule football activities with Emily this Sunday from 2am to 4am	schedule ( title = football activities with Emily ; date = this Sunday ; start-time = 2am ; end-time = 4am )
schedule breakfast with Barbara this Thursday from 9am to 11am	schedule ( title = breakfast with Barbara ; date = this Thursday ; start-time = 9am ; end-time = 11am )
schedule optometrist appointment with Brian next Saturday from 6am to 8am	schedule ( title = optometrist appointment with Brian ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule talk with Sophia next Monday from 3pm to 5pm	schedule ( title = talk with Sophia ; date = next Monday ; start-time = 3pm ; end-time = 5pm )
schedule dentist appointment with Jacob next Saturday from 1am to 3am	schedule ( title = dentist appointment with Jacob ; date = next Saturday ; start-time = 1am ; end-time = 3am )
schedule dinner with Evelyn this Sunday from 6pm to 8pm	schedule ( title = dinner with Evelyn ; date = this Sunday ; start-time = 6pm ; end-time = 8pm )
schedule trip with Isabella next Tuesday from 2pm to 4pm	schedule ( title = trip with Isabella ; date = next Tuesday ; start-time = 2pm ; end-time = 4pm )
schedule trip with Linda next Thursday from 8pm to 10pm	schedule ( title = trip with Linda ; date = next Thursday ; start-time = 8pm ; end-time = 10pm )
schedule dinner with Mia this Sunday from 12am to 2am	schedule ( title = dinner with Mia ; date = this Sunday ; start-time = 12am ; end-time = 2am )
schedule meeting with Kevin this Tuesday from 8am to 10am	schedule ( title = meeting with Kevin ; date = this Tuesday ; start-time = 8am ; end-time = 10am )
schedule lunch with Jennifer this Monday from 5am to 7am	schedule ( title = lunch with Jennifer ; date = this Monday ; start-time = 5am ; end-time = 7am )
schedule lunch with Noah this Sunday from 8pm to 10pm	schedule ( title = lunch with Noah ; date = this Sunday ; start-time = 8pm ; end-time = 10pm )
schedule lab appointment with Benjamin this Tuesday from 8am to 10am	schedule ( title = lab appointment with Benjamin ; date = this Tuesday ; start-time = 8am ; end-time = 10am )
schedule zoom with Gary this Saturday from 2pm to 4pm	schedule ( title = zoom with Gary ; date = this Saturday ; start-time = 2pm ; end-time = 4pm )
schedule optometrist appointment with Elijah this Wednesday from 4pm to 6pm	schedule ( title = optometrist appointment with Elijah ; date = this Wednesday ; start-time = 4pm ; end-time = 6pm )
schedule lab appointment with David next Thursday from 10am to 12am	schedule ( title = lab appointment with David ; date = next Thursday ; start-time = 10am ; end-time = 12am )
schedule zoom with James this Friday from 11pm to 13pm	schedule ( title = zoom with James ; date = this Friday ; start-time = 11pm ; end-time = 13pm )
schedule dinner with Isabella next Wednesday from 1am to 3am	schedule ( title = dinner with Isabella ; date = next Wednesday ; start-time = 1am ; end-time = 3am )
schedule lunch with Sarah next Friday from 11am to 13am	schedule ( title = lunch with Sarah ; date = next Friday ; start-time = 11am ; end-time = 13am )
schedule breakfast with Gary this Saturday from 6am to 8am	schedule ( title = breakfast with Gary ; date = this Saturday ; start-time = 6am ; end-time = 8am )
schedule zoom with Emily this Monday from 2pm to 4pm	schedule ( title = zoom with Emily ; date = this Monday ; start-time = 2pm ; end-time = 4pm )
schedule dentist appointment with Richard next Thursday from 5am to 7am	schedule ( title = dentist appointment with Richard ; date = next Thursday ; start-time = 5am ; end-time = 7am )
schedule taking medicine with father this Sunday from 10am to 12am	schedule ( title = taking medicine with father ; date = this Sunday ; start-time = 10am ; end-time = 12am )
schedule optometrist appointment with Barbara next Friday from 3pm to 5pm	schedule ( title = optometrist appointment with Barbara ; date = next Friday ; start-time = 3pm ; end-time = 5pm )
schedule talk with John next Wednesday from 1pm to 3pm	schedule ( title = talk with John ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule lunch with Alice next Wednesday from 11am to 13am	schedule ( title = lunch with Alice ; date = next Wednesday ; start-time = 11am ; end-time = 13am )
schedule meeting with Noah next Monday from 7pm to 9pm	schedule ( title = meeting with Noah ; date = next Monday ; start-time = 7pm ; end-time = 9pm )
schedule interview with Robert this Sunday from 9pm to 11pm	schedule ( title = interview with Robert ; date = this Sunday ; start-time = 9pm ; end-time = 11pm )
schedule dentist appointment with Brian this Sunday from 9am to 11am	schedule ( title = dentist appointment with Brian ; date = this Sunday ; start-time = 9am ; end-time = 11am )
schedule dinner with Richard next Wednesday from 2am to 4am	schedule ( title = dinner with Richard ; date = next Wednesday ; start-time = 2am ; end-time = 4am )
schedule football activities with Justin next Wednesday from 6pm to 8pm	schedule ( title = football activities with Justin ; date = next Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule yoga activity with George this Friday from 7am to 9am	schedule ( title = yoga activity with George ; date = this Friday ; start-time = 7am ; end-time = 9am )
schedule flight with Elizabeth this Wednesday from 5am to 7am	schedule ( title = flight with Elizabeth ; date = this Wednesday ; start-time = 5am ; end-time = 7am )
schedule dinner with Oliver next Monday from 5am to 7am	schedule ( title = dinner with Oliver ; date = next Monday ; start-time = 5am ; end-time = 7am )
schedule optometrist appointment with Lisa this Saturday from 3pm to 5pm	schedule ( title = optometrist appointment with Lisa ; date = this Saturday ; start-time = 3pm ; end-time = 5pm )
schedule taking medicine with Harper this Saturday from 3pm to 5pm	schedule ( title = taking medicine with Harper ; date = this Saturday ; start-time = 3pm ; end-time = 5pm )
schedule dinner with James this Saturday from 8am to 10am	schedule ( title = dinner with James ; date = this Saturday ; start-time = 8am ; end-time = 10am )
schedule optometrist appointment with Olivia next Thursday from 8pm to 10pm	schedule ( title = optometrist appointment with Olivia ; date = next Thursday ; start-time = 8pm ; end-time = 10pm )
schedule conference with sister next Thursday from 7pm to 9pm	schedule ( title = conference with sister ; date = next Thursday ; start-time = 7pm ; end-time = 9pm )
schedule dentist appointment with Barbara this Monday from 3pm to 5pm	schedule ( title = dentist appointment with Barbara ; date = this Monday ; start-time = 3pm ; end-time = 5pm )
schedule lab appointment with Kevin this Friday from 4am to 6am	schedule ( title = lab appointment with Kevin ; date = this Friday ; start-time = 4am ; end-time = 6am )
schedule dentist appointment with Oliver next Friday from 7am to 9am	schedule ( title = dentist appointment with Oliver ; date = next Friday ; start-time = 7am ; end-time = 9am )
schedule meeting with Michael next Monday from 3am to 5am	schedule ( title = meeting with Michael ; date = next Monday ; start-time = 3am ; end-time = 5am )
schedule conference with Ryan this Sunday from 2am to 4am	schedule ( title = conference with Ryan ; date = this Sunday ; start-time = 2am ; end-time = 4am )
schedule flight with Richard next Friday from 4am to 6am	schedule ( title = flight with Richard ; date = next Friday ; start-time = 4am ; end-time = 6am )
schedule dentist appointment with Liam next Thursday from 3am to 5am	schedule ( title = dentist appointment with Liam ; date = next Thursday ; start-time = 3am ; end-time = 5am )
schedule football activities with Brian this Friday from 6am to 8am	schedule ( title = football activities with Brian ; date = this Friday ; start-time = 6am ; end-time = 8am )
schedule interview with Evelyn next Monday from 9am to 11am	schedule ( title = interview with Evelyn ; date = next Monday ; start-time = 9am ; end-time = 11am )
schedule interview with Emily next Thursday from 9am to 11am	schedule ( title = interview with Emily ; date = next Thursday ; start-time = 9am ; end-time = 11am )
schedule meeting with  next Wednesday from 8am to 10am	schedule ( title = meeting with  ; date = next Wednesday ; start-time = 8am ; end-time = 10am )
schedule optometrist appointment with John next Monday from 3am to 5am	schedule ( title = optometrist appointment with John ; date = next Monday ; start-time = 3am ; end-time = 5am )
schedule interview with Ava this Tuesday from 2am to 4am	schedule ( title = interview with Ava ; date = this Tuesday ; start-time = 2am ; end-time = 4am )
schedule dinner with Noah next Tuesday from 5pm to 7pm	schedule ( title = dinner with Noah ; date = next Tuesday ; start-time = 5pm ; end-time = 7pm )
schedule optometrist appointment with  this Sunday from 3pm to 5pm	schedule ( title = optometrist appointment with  ; date = this Sunday ; start-time = 3pm ; end-time = 5pm )
schedule flight with Scott next Saturday from 6am to 8am	schedule ( title = flight with Scott ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule dinner with Linda next Wednesday from 1pm to 3pm	schedule ( title = dinner with Linda ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule meeting with Jessica next Sunday from 4am to 6am	schedule ( title = meeting with Jessica ; date = next Sunday ; start-time = 4am ; end-time = 6am )
schedule zoom with Emily this Friday from 12pm to 2pm	schedule ( title = zoom with Emily ; date = this Friday ; start-time = 12pm ; end-time = 2pm )
schedule trip with Evelyn this Thursday from 9pm to 11pm	schedule ( title = trip with Evelyn ; date = this Thursday ; start-time = 9pm ; end-time = 11pm )
schedule optometrist appointment with Mary this Monday from 6pm to 8pm	schedule ( title = optometrist appointment with Mary ; date = this Monday ; start-time = 6pm ; end-time = 8pm )
schedule dinner with Alexander this Thursday from 11pm to 13pm	schedule ( title = dinner with Alexander ; date = this Thursday ; start-time = 11pm ; end-time = 13pm )
schedule taking medicine with Alexander next Sunday from 1am to 3am	schedule ( title = taking medicine with Alexander ; date = next Sunday ; start-time = 1am ; end-time = 3am )
schedule dinner with William next Friday from 12pm to 2pm	schedule ( title = dinner with William ; date = next Friday ; start-time = 12pm ; end-time = 2pm )
schedule dentist appointment with Emma this Monday from 3pm to 5pm	schedule ( title = dentist appointment with Emma ; date = this Monday ; start-time = 3pm ; end-time = 5pm )
schedule trip with Robert next Sunday from 3pm to 5pm	schedule ( title = trip with Robert ; date = next Sunday ; start-time = 3pm ; end-time = 5pm )
schedule football activities with sister next Thursday from 3am to 5am	schedule ( title = football activities with sister ; date = next Thursday ; start-time = 3am ; end-time = 5am )
schedule trip with Alexander this Wednesday from 11pm to 13pm	schedule ( title = trip with Alexander ; date = this Wednesday ; start-time = 11pm ; end-time = 13pm )
schedule dentist appointment with Timothy this Wednesday from 6am to 8am	schedule ( title = dentist appointment with Timothy ; date = this Wednesday ; start-time = 6am ; end-time = 8am )
schedule flight with Ashley next Friday from 1pm to 3pm	schedule ( title = flight with Ashley ; date = next Friday ; start-time = 1pm ; end-time = 3pm )
schedule taking medicine with Linda next Thursday from 10am to 12am	schedule ( title = taking medicine with Linda ; date = next Thursday ; start-time = 10am ; end-time = 12am )
schedule football activities with Amelia next Saturday from 12am to 2am	schedule ( title = football activities with Amelia ; date = next Saturday ; start-time = 12am ; end-time = 2am )
schedule dentist appointment with Linda next Tuesday from 2am to 4am	schedule ( title = dentist appointment with Linda ; date = next Tuesday ; start-time = 2am ; end-time = 4am )
schedule lab appointment with William this Tuesday from 5pm to 7pm	schedule ( title = lab appointment with William ; date = this Tuesday ; start-time = 5pm ; end-time = 7pm )
schedule dentist appointment with Amelia next Sunday from 6pm to 8pm	schedule ( title = dentist appointment with Amelia ; date = next Sunday ; start-time = 6pm ; end-time = 8pm )
schedule lab appointment with Elijah this Friday from 5pm to 7pm	schedule ( title = lab appointment with Elijah ; date = this Friday ; start-time = 5pm ; end-time = 7pm )
schedule breakfast with Emma this Wednesday from 2pm to 4pm	schedule ( title = breakfast with Emma ; date = this Wednesday ; start-time = 2pm ; end-time = 4pm )
schedule dinner with Amelia this Thursday from 12pm to 2pm	schedule ( title = dinner with Amelia ; date = this Thursday ; start-time = 12pm ; end-time = 2pm )
schedule lab appointment with Mia next Thursday from 6pm to 8pm	schedule ( title = lab appointment with Mia ; date = next Thursday ; start-time = 6pm ; end-time = 8pm )
set reminder for zoom with Linda on the 7th from 1pm to 2pm	reminder ( title = zoom with Linda ; date = 7th ; start-time = 1pm ; end-time = 2pm )
set reminder for meeting with Kevin on the 3rd from 12am to 1am	reminder ( title = meeting with Kevin ; date = 3rd ; start-time = 12am ; end-time = 1am )
set reminder for lunch with Alex on the 26th from 10am to 11am	reminder ( title = lunch with Alex ; date = 26th ; start-time = 10am ; end-time = 11am )
set reminder for lab appointment with Robert on the 29th from 3pm to 4pm	reminder ( title = lab appointment with Robert ; date = 29th ; start-time = 3pm ; end-time = 4pm )
set reminder for lab appointment with William on the 16th from 10am to 11am	reminder ( title = lab appointment with William ; date = 16th ; start-time = 10am ; end-time = 11am )
set reminder for yoga activity with  on the 5th from 4am to 5am	reminder ( title = yoga activity with  ; date = 5th ; start-time = 4am ; end-time = 5am )
set reminder for football activities with Jeffrey on the 10th from 8am to 9am	reminder ( title = football activities with Jeffrey ; date = 10th ; start-time = 8am ; end-time = 9am )
set reminder for flight with Benjamin on the 3rd from 2am to 3am	reminder ( title = flight with Benjamin ; date = 3rd ; start-time = 2am ; end-time = 3am )
set reminder for talk with James on the 29th from 5pm to 6pm	reminder ( title = talk with James ; date = 29th ; start-time = 5pm ; end-time = 6pm )
set reminder for talk with Isabella on the 18th from 6pm to 7pm	reminder ( title = talk with Isabella ; date = 18th ; start-time = 6pm ; end-time = 7pm )
set reminder for dinner with Jessica on the 13th from 2am to 3am	reminder ( title = dinner with Jessica ; date = 13th ; start-time = 2am ; end-time = 3am )
set reminder for talk with Robert on the 16th from 3am to 4am	reminder ( title = talk with Robert ; date = 16th ; start-time = 3am ; end-time = 4am )
set reminder for flight with Mary on the 25th from 1pm to 2pm	reminder ( title = flight with Mary ; date = 25th ; start-time = 1pm ; end-time = 2pm )
set reminder for trip with George on the 13th from 12pm to 1pm	reminder ( title = trip with George ; date = 13th ; start-time = 12pm ; end-time = 1pm )
set reminder for meeting with James on the 9th from 2am to 3am	reminder ( title = meeting with James ; date = 9th ; start-time = 2am ; end-time = 3am )
set reminder for dinner with Henry on the 19th from 12pm to 1pm	reminder ( title = dinner with Henry ; date = 19th ; start-time = 12pm ; end-time = 1pm )
set reminder for talk with Barbara on the 12th from 7pm to 8pm	reminder ( title = talk with Barbara ; date = 12th ; start-time = 7pm ; end-time = 8pm )
set reminder for trip with Charlotte on the 10th from 11pm to 12pm	reminder ( title = trip with Charlotte ; date = 10th ; start-time = 11pm ; end-time = 12pm )
set reminder for football activities with Barbara on the 28th from 3am to 4am	reminder ( title = football activities with Barbara ; date = 28th ; start-time = 3am ; end-time = 4am )
set reminder for flight with Amelia on the 29th from 2pm to 3pm	reminder ( title = flight with Amelia ; date = 29th ; start-time = 2pm ; end-time = 3pm )
set reminder for dentist appointment with Jennifer on the 31st from 1pm to 2pm	reminder ( title = dentist appointment with Jennifer ; date = 31st ; start-time = 1pm ; end-time = 2pm )
set reminder for dentist appointment with Harper on the 18th from 9pm to 10pm	reminder ( title = dentist appointment with Harper ; date = 18th ; start-time = 9pm ; end-time = 10pm )
set reminder for dentist appointment with Mia on the 23rd from 5am to 6am	reminder ( title = dentist appointment with Mia ; date = 23rd ; start-time = 5am ; end-time = 6am )
set reminder for conference with Jessica on the 29th from 5pm to 6pm	reminder ( title = conference with Jessica ; date = 29th ; start-time = 5pm ; end-time = 6pm )
set reminder for lunch with Alexander on the 16th from 7am to 8am	reminder ( title = lunch with Alexander ; date = 16th ; start-time = 7am ; end-time = 8am )
set reminder for dentist appointment with Jessica on the 16th from 3pm to 4pm	reminder ( title = dentist appointment with Jessica ; date = 16th ; start-time = 3pm ; end-time = 4pm )
set reminder for optometrist appointment with Justin on the 20th from 9pm to 10pm	reminder ( title = optometrist appointment with Justin ; date = 20th ; start-time = 9pm ; end-time = 10pm )
set reminder for breakfast with Scott on the 7th from 12pm to 1pm	reminder ( title = breakfast with Scott ; date = 7th ; start-time = 12pm ; end-time = 1pm )
set reminder for dinner with Jennifer on the 12th from 1pm to 2pm	reminder ( title = dinner with Jennifer ; date = 12th ; start-time = 1pm ; end-time = 2pm )
set reminder for taking medicine with Brian on the 22nd from 7am to 8am	reminder ( title = taking medicine with Brian ; date = 22nd ; start-time = 7am ; end-time = 8am )
set reminder for taking medicine with Alex on the 31st from 2am to 3am	reminder ( title = taking medicine with Alex ; date = 31st ; start-time = 2am ; end-time = 3am )
set reminder for lunch with Michael on the 22nd from 6am to 7am	reminder ( title = lunch with Michael ; date = 22nd ; start-time = 6am ; end-time = 7am )
set reminder for meeting with Emma on the 17th from 7pm to 8pm	reminder ( title = meeting with Emma ; date = 17th ; start-time = 7pm ; end-time = 8pm )
set reminder for trip with Jeffrey on the 3rd from 5pm to 6pm	reminder ( title = trip with Jeffrey ; date = 3rd ; start-time = 5pm ; end-time = 6pm )
set reminder for talk with Ryan on the 18th from 2pm to 3pm	reminder ( title = talk with Ryan ; date = 18th ; start-time = 2pm ; end-time = 3pm )
set reminder for optometrist appointment with Barbara on the 8th from 12am to 1am	reminder ( title = optometrist appointment with Barbara ; date = 8th ; start-time = 12am ; end-time = 1am )
set reminder for meeting with George on the 24th from 11am to 12am	reminder ( title = meeting with George ; date = 24th ; start-time = 11am ; end-time = 12am )
set reminder for flight with Isabella on the 17th from 8am to 9am	reminder ( title = flight with Isabella ; date = 17th ; start-time = 8am ; end-time = 9am )
set reminder for lab appointment with William on the 25th from 10pm to 11pm	reminder ( title = lab appointment with William ; date = 25th ; start-time = 10pm ; end-time = 11pm )
set reminder for dinner with David on the 8th from 8pm to 9pm	reminder ( title = dinner with David ; date = 8th ; start-time = 8pm ; end-time = 9pm )
set reminder for talk with Evelyn on the 18th from 10am to 11am	reminder ( title = talk with Evelyn ; date = 18th ; start-time = 10am ; end-time = 11am )
set reminder for playing football with Olivia on the 7th from 11am to 12am	reminder ( title = playing football with Olivia ; date = 7th ; start-time = 11am ; end-time = 12am )
set reminder for trip with Alice on the 30th from 1am to 2am	reminder ( title = trip with Alice ; date = 30th ; start-time = 1am ; end-time = 2am )
set reminder for talk with Jeffrey on the 20th from 5am to 6am	reminder ( title = talk with Jeffrey ; date = 20th ; start-time = 5am ; end-time = 6am )
set reminder for flight with Alexander on the 27th from 8am to 9am	reminder ( title = flight with Alexander ; date = 27th ; start-time = 8am ; end-time = 9am )
set reminder for trip with Linda on the 16th from 5pm to 6pm	reminder ( title = trip with Linda ; date = 16th ; start-time = 5pm ; end-time = 6pm )
set reminder for zoom with Oliver on the 9th from 10pm to 11pm	reminder ( title = zoom with Oliver ; date = 9th ; start-time = 10pm ; end-time = 11pm )
set reminder for talk with Alex on the 3rd from 6am to 7am	reminder ( title = talk with Alex ; date = 3rd ; start-time = 6am ; end-time = 7am )
set reminder for playing football with James on the 14th from 7pm to 8pm	reminder ( title = playing football with James ; date = 14th ; start-time = 7pm ; end-time = 8pm )
set reminder for optometrist appointment with Jacob on the 10th from 3pm to 4pm	reminder ( title = optometrist appointment with Jacob ; date = 10th ; start-time = 3pm ; end-time = 4pm )
set reminder for meeting with Linda on the 31st from 7pm to 8pm	reminder ( title = meeting with Linda ; date = 31st ; start-time = 7pm ; end-time = 8pm )
set reminder for lab appointment with Scott on the 24th from 2pm to 3pm	reminder ( title = lab appointment with Scott ; date = 24th ; start-time = 2pm ; end-time = 3pm )
set reminder for optometrist appointment with William on the 16th from 7am to 8am	reminder ( title = optometrist appointment with William ; date = 16th ; start-time = 7am ; end-time = 8am )
set reminder for dinner with Kevin on the 13th from 8pm to 9pm	reminder ( title = dinner with Kevin ; date = 13th ; start-time = 8pm ; end-time = 9pm )
set reminder for football activities with Kevin on the 11th from 6am to 7am	reminder ( title = football activities with Kevin ; date = 11th ; start-time = 6am ; end-time = 7am )
set reminder for yoga activity with Lucas on the 9th from 6am to 7am	reminder ( title = yoga activity with Lucas ; date = 9th ; start-time = 6am ; end-time = 7am )
set reminder for lunch with Jennifer on the 27th from 12pm to 1pm	reminder ( title = lunch with Jennifer ; date = 27th ; start-time = 12pm ; end-time = 1pm )
set reminder for taking medicine with Emily on the 11th from 10pm to 11pm	reminder ( title = taking medicine with Emily ; date = 11th ; start-time = 10pm ; end-time = 11pm )
set reminder for flight with Ava on the 17th from 2am to 3am	reminder ( title = flight with Ava ; date = 17th ; start-time = 2am ; end-time = 3am )
set reminder for yoga activity with  on the 2nd from 1am to 2am	reminder ( title = yoga activity with  ; date = 2nd ; start-time = 1am ; end-time = 2am )
set reminder for football activities with Timothy on the 25th from 3pm to 4pm	reminder ( title = football activities with Timothy ; date = 25th ; start-time = 3pm ; end-time = 4pm )
set reminder for breakfast with Sarah on the 11th from 7am to 8am	reminder ( title = breakfast with Sarah ; date = 11th ; start-time = 7am ; end-time = 8am )
set reminder for flight with Gary on the 17th from 3pm to 4pm	reminder ( title = flight with Gary ; date = 17th ; start-time = 3pm ; end-time = 4pm )
set reminder for dinner with Jacob on the 23rd from 1pm to 2pm	reminder ( title = dinner with Jacob ; date = 23rd ; start-time = 1pm ; end-time = 2pm )
set reminder for meeting with John on the 26th from 7pm to 8pm	reminder ( title = meeting with John ; date = 26th ; start-time = 7pm ; end-time = 8pm )
set reminder for flight with Robert on the 3rd from 12am to 1am	reminder ( title = flight with Robert ; date = 3rd ; start-time = 12am ; end-time = 1am )
set reminder for taking medicine with Charlotte on the 11th from 5am to 6am	reminder ( title = taking medicine with Charlotte ; date = 11th ; start-time = 5am ; end-time = 6am )
set reminder for meeting with John on the 1st from 1am to 2am	reminder ( title = meeting with John ; date = 1st ; start-time = 1am ; end-time = 2am )
